법원명,사건번호,매각기일,주소,감정가,최저가,태그,주거형태,건물평수,조회수,경매/공매,임대여부,할인율
미정,준비중,시작 2023.12.18 10:00 ~,경기도 수원시 영통구 이의동 1256 제지1층 제101호 근린생활시설,942000000,686718000,#기타일반재산#유찰3회,근린생활시설,27,648,공매,0.0,0.27
미정,진행중,~ 2023.11.29 16:00 마감,화성 전곡해양 일반산업단지 지원 5-1용지 (전곡리 1084-1),673534500,673534500,#기타일반재산#유찰2회,대지,187,1500,공매,0.0,0.0
미정,진행중,~ 2023.11.29 16:00 마감,화성 전곡해양 일반산업단지 지원 5-3용지 (전곡리 1084-3),445067000,445067000,#기타일반재산#유찰2회,대지,125,672,공매,0.0,0.0
미정,진행중,~ 2023.11.29 16:00 마감,화성 전곡해양 일반산업단지 지원 9-1용지 (전곡리 1113-1),748800000,748800000,#기타일반재산#유찰2회,대지,218,410,공매,0.0,0.0
미정,진행중,~ 2023.11.29 16:00 마감,화성 전곡해양 일반산업단지 지원 9-2용지 (전곡리 1113-2),776880000,776880000,#기타일반재산#유찰2회,대지,226,282,공매,0.0,0.0
미정,진행중,~ 2023.11.29 16:00 마감,화성 전곡해양 일반산업단지 지원 7-4용지 (전곡리 1087-4),546560000,546560000,#기타일반재산#유찰2회,대지,148,344,공매,0.0,0.0
전주지법,2023타경946[1],D-66,전라북도 완주군 이서면 금평리 산124,41650000,29155000,#유찰1회#형식적경매#맹지,임야,360,75,경매,0.0,0.3
진주지원,2021타경1550[1],D-55,경상남도 산청군 산청읍 차탄리 산9,2049266000,275048000,#유찰9회#재매각#분묘기지권#맹지,임야,20228,511,경매,0.0,0.87
서울남부지법,2022타경156[1],D-54,서울특별시 영등포구 영등포로65길 15-1,1218785600,975028000,#유찰1회,다가구,73,2700,경매,0.0,0.2
서울남부지법,2022타경102168[1],D-54,"서울특별시 강서구 공항대로55길 10-3, 제6층 제602호 (등촌동, 워너빌)",124480000,40790000,#유찰5회#선순위임차인#위반건축물#임차권등기,다세대,6,431,경매,0.0,0.67
서울남부지법,2022타경114307[1],D-54,"서울특별시 영등포구 경인로112길 4-7, 제6층 제601호 (영등포동1가, 메트로가든)",139000000,111200000,#유찰1회,오피스텔(주거),4,353,경매,0.0,0.2
서산지원,2022타경56959[1],D-53,충청남도 당진시 고대면 용두리 326,104047980,35689000,#유찰3회,단독주택,20,565,경매,0.0,0.66
서산지원,2022타경53899[1],D-53,"충청남도 당진시 당진중앙2로 331, 102동 5층503호 (원당동,파크빌아파트)",269000000,45211000,#유찰5회#선순위임차인#임차권등기,아파트,26,536,경매,0.0,0.83
서산지원,2023타경50040[1],D-53,충청남도 태안군 태안읍 삭선길 444-40,170032000,83315000,#유찰2회,단독주택,27,487,경매,0.0,0.51
서산지원,2020타경6127[1],D-53,충청남도 당진시 송악읍 옛터골길 13-21,963728400,231391000,#유찰4회#재매각#유치권#특별매각조건,상가,219,411,경매,0.0,0.76
서산지원,2022타경2334[1],D-53,충청남도 태안군 안면읍 창기리 1287-39,76424400,37448000,#유찰2회#재매각#지분매각#농지취득자격증명#맹지,답,109,221,경매,0.0,0.51
서산지원,2022타경53769[1],D-53,충청남도 당진시 대호지면 사성리 산13-1,54549000,9168000,#유찰5회#지분매각#맹지,임야,1501,175,경매,0.0,0.83
서산지원,2022타경58009[1],D-53,충청남도 당진시 석문면 난지도리 177-34,658576000,225891000,#유찰3회,다가구,101,165,경매,0.0,0.66
서산지원,2022타경3726[1],D-53,충청남도 당진시 정미면 천의리 120-5,43223750,10378000,#유찰4회#지분매각#맹지,임야,2588719,156,경매,0.0,0.76
서산지원,2022타경4491[2],D-53,충청남도 서산시 대산읍 오지리 313-96,65472000,22457000,#유찰3회#맹지,염전,301,151,경매,0.0,0.66
